SQLDate,Actor1Code,Actor2Code,QuadClass,GoldsteinScale,NumMentions,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,Location
20090709,CHNUIG,CHN,1,2.8,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNCOP,4,-9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNCVL,2,7,8,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNCVL,3,-6.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNCVL,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNELI,3,-2,8,43.8811,81.2458,,"Ili, Xinjiang, China"
20090710,CHN,CHNGOV,1,0,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNGOV,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNGOV,1,0.4,8,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNGOV,4,-5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNGOV,4,-5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNGOV,4,-9.5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNGOV,4,-10,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNGOV,4,-10,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNGOVMED,4,-10,13,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNHLH,1,1.9,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNMED,1,1.9,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNMED,1,2.8,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNSEP,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNUIG,1,1.9,13,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,MNCCHN,1,1.9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,MNCCHN,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,NGOCHNUIGHRI,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,NGOCHNUIGHRI,2,6,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,NGOCHNUIGHRI,3,-2,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,NGOCHNUIGHRI,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,NGOCHNUIGHRI,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNCOP,CHNUIG,3,-6.5,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNCOP,NGOCHNUIGHRI,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNCOP,NGOCHNUIGHRI,3,-2,8,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNCVL,CHN,2,7.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNCVL,CHN,3,-6.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNCVL,CHN,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNGOV,CHN,1,0,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOV,CHN,1,3,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOV,CHN,3,-2,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOV,CHN,3,-2,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNGOV,CHN,4,-10,12,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOV,CHNELI,3,-2,4,43.8811,81.2458,,"Ili, Xinjiang, China"
20090710,CHNGOVMED,CHN,1,0,61,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,CHN,1,0,15,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,CHN,2,6,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,CHN,3,-2,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,NGOCHNUIGHRI,1,0,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,NGOCHNUIGHRI,2,6,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,NGOCHNUIGHRI,3,-2,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNMED,CHN,1,2.8,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNUIG,CHN,1,2.8,13,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHNUIG,CHN,4,-10,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,MNCCHN,CHN,1,1.9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,MNCCHN,CHN,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090710,CHN,CHNCOP,2,7,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNCOP,4,-5,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNCVL,2,7,8,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNGOV,1,0,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHN,CHNGOVMED,4,-10,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOV,CHN,4,-10,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,CHN,1,0,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090710,CHNGOVMED,CHN,1,0,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090711,CHN,CHNCOP,1,2.8,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHN,CHNCOP,4,-5,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHN,CHNGOVMILCOP,1,2.8,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHN,CHNHLH,1,1.9,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHN,CHNLAB,4,-4,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090711,CHN,CHNMED,1,0,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHN,CHNMED,1,0.4,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHN,CHNUIG,1,1.9,6,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090711,CHN,CHNUIG,1,1.9,7,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090711,CHN,CHNUIG,1,1.9,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNCOP,CHN,1,1.9,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNCOP,CHN,4,-5,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNEDU,CHNUIG,1,0.4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNGOV,CHN,1,3,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNGOVMILCOP,CHN,1,1.9,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNLAB,CHN,4,-4,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090711,CHNUIG,CHN,1,2.8,6,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090711,CHNUIG,CHN,1,2.8,7,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090711,CHNUIG,CHN,1,2.8,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090711,CHNUIG,CHN,4,-10,14,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090712,CHN,CHNCOP,4,-10,9,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090712,CHNCOP,CHN,4,-10,18,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090712,CHNCVL,CHN,4,-5,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090713,CHN,CHNCOP,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHN,CHNGOV,1,0,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090713,CHN,CHNGOV,1,0,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090713,CHN,CHNGOV,1,1,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHN,CHNGOV,1,1.9,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHN,CHNGOV,1,7,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHN,CHNGOV,3,-5,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHN,CHNGOV,4,-10,12,38.4167,77.2406,,"Kashgar, Xinjiang, China"
20090713,CHN,CHNGOV,4,-10,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090713,CHN,CHNUIG,1,2.8,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090713,CHNCOP,CHN,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHNGOV,CHN,1,1,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHNGOV,CHN,1,7,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHNGOV,CHN,3,-5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090713,CHNUIG,CHN,1,1.9,7,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090713,CHN,CHNCOP,4,-10,10,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090714,CHN,CHNGOV,1,-0.4,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090714,CHN,CHNMED,1,3,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090714,CHN,CHNMED,1,2.8,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090714,CHNGOV,CHN,1,-0.4,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090714,CHNGOV,CHN,1,4,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20090714,CHNMED,CHN,1,1.9,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090715,CHN,CHNCVL,1,8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090715,CHN,CHNGOV,1,4,2,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090715,CHNCVL,CHN,1,8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090715,CHNGOV,CHN,3,-7.5,2,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090717,CHN,CHNEDU,1,0.4,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090717,CHN,CHNMED,3,-2,2,43.35,88.3167,,"Urumqi, Xinjiang, China"
20090717,CHNGOV,CHN,1,3.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090717,CHNGOV,CHN,2,7,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090717,CHNMED,CHN,3,-2,2,43.35,88.3167,,"Urumqi, Xinjiang, China"
20090718,CHN,CHNGOV,1,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090718,CHN,CHNGOV,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090718,CHN,CHNUIG,1,0,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090718,CHNGOV,CHNGOV,1,-2,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090718,CHNGOV,CHNGOV,3,-2,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090720,CHN,CHNUIG,1,0,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090721,CHN,CHNCOP,4,-10,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090721,CHN,CHNMIL,1,3.4,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090721,CHN,NGOCHNUIGHRI,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090721,CHN,NGOCHNUIGHRI,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090721,CHNCOP,NGOCHNUIGHRI,3,-2,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090721,CHNCOP,NGOCHNUIGHRI,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090721,CHNGOV,CHN,1,3.4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090725,CHN,CHNGOV,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090726,CHN,CHNGOV,1,0,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090726,CHN,CHNGOV,1,-0.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090726,CHN,CHNGOV,1,3.5,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090726,CHN,CHNGOV,2,7,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090726,CHN,CHNGOV,3,-4.4,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090726,CHNGOV,CHN,3,-4.4,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090727,CHN,CHNGOV,1,3,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090727,CHN,CHNGOV,2,7,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090727,CHN,NGOCHNUIGHRI,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090727,CHN,NGOCHNUIGHRI,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090727,CHNCOP,NGOCHNUIGHRI,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090727,CHNCOP,NGOCHNUIGHRI,3,-2,8,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090727,CHNGOV,CHN,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090727,CHNUIG,CHN,1,1.9,14,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090729,CHNGOV,CHN,3,-6.5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090731,CHN,CHNGOV,2,5,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090731,CHNGOV,CHN,2,5,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090802,CHNCOP,CHN,3,-7.5,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090803,CHN,CHNGOV,1,0,4,37.0997,79.9269,,"Hetian, Xinjiang, China"
20090803,CHN,NGOCHNUIGHRI,1,1.9,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090803,CHN,NGOCHNUIGHRI,3,-2,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090803,NGOCHNUIGHRI,CHN,1,2.8,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090803,NGOCHNUIGHRI,CHN,3,-4,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090803,NGOCHNUIGHRI,CHNLEG,3,-4,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090805,CHNUIG,CHN,4,-5,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20090807,CHN,CHNCVL,1,1.9,4,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20090810,CHN,CHNUIG,1,1.9,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090810,CHN,NGOCHNUIGHRI,1,0,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090810,CHNGOV,CHN,1,0,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090810,CHNGOV,NGOCHNUIGHRI,1,0,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090810,CHNUIG,CHN,1,2.8,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090811,CHNGOV,CHN,1,-0.4,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090811,CHNGOV,CHN,1,4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090811,CHNGOV,CHN,1,4,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090812,CHN,NGOCHNUIGHRI,3,-2,18,43.8811,81.2458,,"Ili, Xinjiang, China"
20090812,CHN,NGOCHNUIGHRI,3,-2,3,43.8811,81.2458,,"Ili, Xinjiang, China"
20090812,CHNCOP,CHN,4,-5,21,43.8811,81.2458,,"Ili, Xinjiang, China"
20090812,CHNCOP,CHN,4,-5,6,43.8811,81.2458,,"Ili, Xinjiang, China"
20090820,CHN,CHNGOV,4,-5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090820,CHNGOV,CHN,1,3,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090823,CHN,CHNGOV,1,0,7,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090823,CHN,CHNUIG,1,0.4,10,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090823,CHN,CHNUIG,2,5,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090823,CHNJUD,CHN,1,0,12,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090823,CHNJUD,CHN,3,-4,8,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090823,CHNJUD,CHNUIG,1,0,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090824,CHNJUD,CHN,1,0,27,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090826,CHN,CHNJUD,4,-5,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090826,CHNGOV,CHN,2,-2,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090826,CHNGOV,CHN,4,-7.2,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090829,CHNGOV,CHN,4,-5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHN,CHNGOV,1,3.4,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHN,CHNGOV,1,4,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHN,CHNGOV,1,1,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOV,CHN,1,3.4,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOV,CHN,1,4,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOV,CHN,1,1,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOV,CHNGOVBUS,1,4,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOV,CHNGOVBUS,1,1,15,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOVBUS,CHNGOV,1,4,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090831,CHNGOVBUS,CHNGOV,1,1,15,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090901,CHN,CHNGOV,1,1,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090901,CHN,CHNGOV,1,2.8,14,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090901,CHNGOV,CHN,1,1,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090901,CHNGOV,CHN,1,1.9,14,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
